reference;partName;_HID;symbolName;sheetNumber;_DEST;noMount;trimOption;nominal_value;dim_nominal_value;ref_voltage_divider;fac_voltage_divider;des_voltage_divider
R9636;1267362726;sht16.cmp4589;r_sym_1.smb;016;;NO;;;;;;
R9637;1267361538;sht16.cmp4524;r_sym_1.smb;016;;NO;;;;;;
R9640;8901009076;sht16.cmp4391;rshunt_1_sym_1.smb;016;;NO;;;;;;
R9641;1267362727;sht16.cmp4636;r_sym_1.smb;016;;NO;;;;;;
R9646;1267362727;sht16.cmp4363;r_sym_1.smb;016;;NO;;;;;;
R9651;1267362727;sht16.cmp4440;r_sym_1.smb;016;;NO;;;;;;
R9690;1267362128;sht6.cmp1055;r_sym_1.smb;006;;NO;;;;;;
R9691;1267361348;sht6.cmp1063;r_sym_1.smb;006;;NO;;;;;;
R9692;1267362733;sht6.cmp1065;r_sym_1.smb;006;;NO;;;;;;
R9695;1267362128;sht6.cmp1084;r_sym_1.smb;006;;NO;;;;;;
R9696;1267361348;sht6.cmp1056;r_sym_1.smb;006;;NO;;;;;;
R9697;1267362733;sht6.cmp1078;r_sym_1.smb;006;;NO;;;;;;
R1720A;1267362131;sht6.cmp735;r_sym_1.smb;006;;NO;;;;;;
R1725A;1267362131;sht6.cmp737;r_sym_1.smb;006;;NO;;;;;;
R1901A;1267360835;sht4.cmp952;r_sym_1.smb;004;;NO;;;;;;
R1901B;1267360835;sht4.cmp953;r_sym_1.smb;004;;NO;;;;;;
R1906A;1267360835;sht4.cmp969;r_sym_1.smb;004;;NO;;;;;;
R1906B;1267360835;sht4.cmp978;r_sym_1.smb;004;;NO;;;;;;
R1911A;1267360835;sht4.cmp976;r_sym_1.smb;004;;NO;;;;;;
R1911B;1267360835;sht4.cmp979;r_sym_1.smb;004;;NO;;;;;;
R1916A;1267360835;sht4.cmp977;r_sym_1.smb;004;;NO;;;;;;
R1916B;1267360835;sht4.cmp971;r_sym_1.smb;004;;NO;;;;;;
R1921A;1267360835;sht4.cmp981;r_sym_1.smb;004;;NO;;;;;;
R1921B;1267360835;sht4.cmp972;r_sym_1.smb;004;;NO;;;;;;
R1926A;1267360835;sht4.cmp970;r_sym_1.smb;004;;NO;;;;;;
R1926B;1267360835;sht4.cmp973;r_sym_1.smb;004;;NO;;;;;;
R1931A;1267360835;sht4.cmp980;r_sym_1.smb;004;;NO;;;;;;
R1931B;1267360835;sht4.cmp974;r_sym_1.smb;004;;NO;;;;;;
R1936A;1267360835;sht4.cmp968;r_sym_1.smb;004;;NO;;;;;;
R1936B;1267360835;sht4.cmp975;r_sym_1.smb;004;;NO;;;;;;
R1976A;1267362198;sht6.cmp1190;r_sym_1.smb;006;;NO;;;;;;
R1976B;1267368013;sht6.cmp1191;r_sym_1.smb;006;;YES;;;;;;
R1981A;1267360835;sht4.cmp1028;r_sym_1.smb;004;;YES;;;;;;
R1981B;1267360835;sht4.cmp1027;r_sym_1.smb;004;;YES;;;;;;
R2144A;1267368018;sht9.cmp1574;r_sym_1.smb;009;;NO;;;;;;
R2144B;1267368018;sht9.cmp1712;r_sym_1.smb;009;;NO;;;;;;
R2791A;1267360835;sht4.cmp984;r_sym_1.smb;004;;NO;;;;;;
R2791B;1267360835;sht4.cmp982;r_sym_1.smb;004;;NO;;;;;;
R3041A;1267360860;sht1.cmp5182;r_sym_1.smb;001;;NO;;;;;;
R3041B;1267360860;sht1.cmp5180;r_sym_1.smb;001;;NO;;;;;;
R3041C;1267360860;sht1.cmp5092;r_sym_1.smb;001;;NO;;;;;;
R3163B;1267368003;sht2.cmp2703;r_sym_1.smb;002;;NO;;;;;;
R4560A;1267368018;sht3.cmp1922;r_sym_1.smb;003;;NO;;;;;;
R4560B;1267368018;sht3.cmp1892;r_sym_1.smb;003;;NO;;;;;;
R4570A;1267368018;sht3.cmp1672;r_sym_1.smb;003;;NO;;;;;;
R4570B;1267368018;sht3.cmp1659;r_sym_1.smb;003;;NO;;;;;;
R4580A;1267368018;sht3.cmp1819;r_sym_1.smb;003;;YES;;;;;;
R4580B;1267368018;sht3.cmp1791;r_sym_1.smb;003;;YES;;;;;;
R4590A;1267368018;sht3.cmp1721;r_sym_1.smb;003;;YES;;;;;;
R4590B;1267368018;sht3.cmp1750;r_sym_1.smb;003;;YES;;;;;;
R4741A;1267360853;sht3.cmp1189;r_sym_1.smb;003;;NO;;;;;;
R4741B;1267368000;sht3.cmp1190;r_sym_1.smb;003;;YES;;;;;;
R4742A;1267360853;sht3.cmp1188;r_sym_1.smb;003;;NO;;;;;;
R4742B;1267368000;sht3.cmp1191;r_sym_1.smb;003;;YES;;;;;;
S1100;1277379025;sht7.cmp2015;cj135-c0_sdsym_3.smb;007;;YES;;;;;;
S1150;1277379025;sht8.cmp1970;cj135-c0_sdsym_3.smb;008;;YES;;;;;;
S1200;8909009127;sht7.cmp1919;mlx90339_sdsym_1.smb;007;;YES;;;;;;
S1250;8909009127;sht8.cmp1916;mlx90339_sdsym_1.smb;008;;YES;;;;;;
S1600;0273300387;sht6.cmp1142;smp580_nc_sdsym_1.smb;006;;NO;;;;;;
S1603;0273300605;sht6.cmp1193;smp581_nc_sdsym_1.smb;006;;YES;;;;;;
S3000;0272240357;sht1.cmp5132;cy329a_tqfp64_ep_sdsym_31_1.smb;001;;NO;;;;;;
S4550;8909005844;sht3.cmp1941;tja1044_sdsym_2.smb;003;;YES;;;;;;
S4555;8909003316;sht3.cmp1961;74ahc1g14_sym_1.smb;003;;YES;;;;;;
S4560;1267379051;sht3.cmp1882;tja1021_sdsym_1.smb;003;;NO;;;;;;
S4570;1267379051;sht3.cmp1674;tja1021_sdsym_1.smb;003;;NO;;;;;;
S4575;8909013639;sht3.cmp2019;74hct1g08_sym_1.smb;003;;YES;;;;;;
S4580;1267379051;sht3.cmp1807;tja1021_sdsym_1.smb;003;;YES;;;;;;
S4585;8909013639;sht3.cmp2008;74hct1g08_sym_1.smb;003;;YES;;;;;;
S4590;1267379051;sht3.cmp1723;tja1021_sdsym_1.smb;003;;YES;;;;;;
S4595;8909013639;sht3.cmp1983;74hct1g08_sym_1.smb;003;;YES;;;;;;
S4740;1267379095;sht3.cmp1231;tja1081a_sdsym_2.smb;003;;NO;;;;;;
S5000;8909010955;sht10.cmp3273/sht1.cmp3343;fsl_lfbga512_pd_sdsym_1.smb;010;;NO;;;;;;
