Partnumber,Package,Value,Tolerance
8900657565,0933,560k,5%
8900401825,0414,820k,5%
1270MT0335,,3641 V167,
0261C15895,,B7B-PH-K-S,
8900428915,0414,910k,5%
0281D05786,,undefined,
1270MT0336,,3695-K01,
8900112476,0204,4.7M,5%
8900401826,0414,8.2M,5%
0261C15896,,ASP-137973-01,
8909010576,2016,25MHz,150ppm
8909015716,28 -VQFN,MCP251863T-E/9PX,
8900428916,0414,9.1M,5%
8900657566,0933,5.6M,5%
8909009056,D*PAK,BUK965R8-100E,
8900433226,0414,221R,1%
8900401827,0414,82M,5%
8909009057,0603,2.74k,1%
8905509907,TSSOP5,74HCT1G32GW,
8909015717,48pin QFN,RTL9000BF-VBA-CG,
8909010577,2016,25MHz,150ppm
8900433227,0414,226R,1%
8909008387,HY_HYBRID,MLX80070BA,
8900657567,0933,56M,5%
8900461700,0414,10.7R,2%
8909012740,PPAK SO-8L/LFPAK56,SQJ170ELP-T2_GE3,
3337619270,,47uF,20%
8905509908,0612,3m,1%
8902960430,,10nF,20%
8900433228,0414,232R,1%
8909008388,HVSON8,TJR1442ATK/S1,
8905510110,HY_0402,27nF,10%
0272230560,QFP44,CG983,
8909009058,0603,3.16k,1%
8900200360,0204,3.6R,5%
8900325680,0207,6.8R,2%
8900332820,0309,8.2R,5%
8900679380,0207,88.7k,2%
8909010578,HVQFN44,TJA1085GHN/S1,
8909B01820,2220 (EIA) or 5650 (IEC),,
8909015718,2.0x0.7x1.6 mm,27MHz,
8902838881,,22nF,20%
8909B0571101,,25uF,5%
8900200361,0204,36R,5%
8909B0754301,5x6x0.9mm(LxWxH),100602-00028,
1270320289,,undefined,
8901026051,,1R,0.5%
8909B0747001,WSON,TPS74601PCQWDRVR,
8900679381,0207,90.9k,2%
890013237201,0603,15k,1%
8909015719,7 x 7 mm,iND88000,
8909B0478601,0603,0438005WRA,
890013265401,1206,750R,1%
027330064401,DFN,SMP581,
890013201801,,200k,1%
890901410201,2016,2.2mH,
8900332821,0309,82R,5%
8909009059,0603,3.4k,1%
8900461701,0414,11R,2%
1270CD6449,,MX34R08HF4T,
8905509909,,3.3uF,10%
8909B0543301,2016,32.768kHz,
8909B0183201,SOD123W,PMEG10010ELR-Q,
8909B01821,,330uH,
8909010579,DFN1006-2,BZX884S-B10-Q/S8,
8905510111,HY_0402,56nF,10%
8900433229,0414,237R,1%
0272230561,QFP44,UG11 (CG987),
8900332822,0309,820R,5%
8900461702,0414,11.3R,2%
8900200362,0204,360R,5%
8900679382,0207,93.1k,2%
1270C62222,,1270C62222,
8905510112,HY_0402,68nF,10%
0272230562,QFP44,UG10 (CG983),
8909B01822,,2.9uH,
3337619272,,220uF,20%
0272240369DB,TQFP64epad,CY329DB,
3337619273,,470u,20 %
8900679383,0207,95.3k,2%
8900461703,0414,11.5R,2%
0272230563,QFP44,UG08  (CG975B),
8909B03933,7.7x7.2x5.2 mm,4.7uH,
8900200363,0204,3.6k,5%
1270C62223,,1270C62223,
8900332823,0309,8.2k,5%
890901040903,"eWLB, 0.5mm pitch",RXS8162PLD,
8905505613,SMD,8.2uH,
8905510113,0402,3k,1%
1269992573,,47R,10%
8909B03934,DFN2020-6,PMPB29XPEA,
3337619274,BECHER,undefined,
8909012744,SOIC(DWY),UCC23313BQDWYRQ1,
1270F04004,,,
8905510114,0402,4.7k,1%
8900200364,0204,36k,5%
8900679384,0207,97.6k,2%
8900332824,0309,82k,5%
8909B01824,,2.9uH,
8900461704,0414,11.8R,2%
8902838885,,33nF,20%
8905505615,P-DSO-12-4,TLE7469GV52,
8900200365,0204,360k,5%
8909012745,SSOP-B20W,BM60212FV-C,
8900332825,0309,820k,5%
890900263805,LFBGA516,D4_65_IFX_BGA516,
8900679385,0207,100k,2%
8909B01825,,3.8uH,
8905510115,0402,19.1k,1%
8900461705,0414,12.1R,2%
8900332826,0309,8.2M,5%
8900461706,0414,12.4R,2%
0272230566,HIQUAD64,"CJ945C (STM,UG02",
8905510116,0402,30k,1%
8909B01826,PG-TSDSON-8,IPZ40N04S5-8R4,
8905505616,SOD323,BZX84J-B5V6,
8900200366,0204,3.6M,5%
8900461707,0414,12.7R,2%
8909012747,,2.45uH,
8909B03937,QFN-40,88Q1111,
8900332827,0309,82M,5%
8905510117,0402,240k,1%
0261D006HW,,,
8900200367,0204,36M,5%
8909008370,FBGA180,MT61M256M32JE12A,
1271290050,SIP 4-PIN,MLX91209LVA-CAA-,
8900444100,0933,1R,5%
8909B03938,DSO-20-91,1EDI3031AS_Gxxx,
1267369610,"EFD 30,6",505 90 031 00,
8900521910,0617,9.1R,5%
8909010560,,AMS10A-40MZ5-Z,
8909B01828,SMC,TPSMC6.8AHE3,
1270E22220,,,
8905505618,,220uF,20%
8902001790,0805,100pF,2%
8900430430,0414,4.3R,5%
8900433210,0414,150R,1%
8909012748,0603,FBTH1608HE331-T,
0272230568,LQFP64,CY334,
8900458270,0411,2.7R,2%
8909015780,,,
8900461708,0414,13R,2%
8900653100,0922,1R,5%
8905510118,0402,3k,1%
127100000A,,undefined,
8909008371,7.5x8x4 mm,220nH,
8902001791,0805,120pF,2%
8909B0594301,VQFN-HR,DRV8243HQRXYRQ1,
8909B0642101,1210,47uF,10%
8905502641,SSOP24,ZFAS-UASIC,
8909B01829,TQFP64 epad,CY329A,
0272230569,PLCC44,CG680,
8902838889,,47nF,20%
8900430431,0414,43R,5%
8900521911,0617,91R,5%
8900653101,0922,10R,5%
8905510119,0402,4.7k,1%
8909B0619201,,ERM8-060-0.50-S-,
1270E22221,,,
1035930589,,undefined,
8909B0493801,VSSOP10,LM5165XQDGSRQ1,
1267369611,"EF 30,6",505 90 032 00,
1271290051,SIP 4-PIN,MLX91209LVA-CAA-,
8909B03939,VSSOP,SN74LVC3G14DCUR,
8900458271,0411,27R,2%
8909B0798001,6.5 mm x 5.0 mm WF-QFN,PPF5400AMMA2ES,
8900461709,0414,13.3R,2%
8905505619,,,
8909015781,0603,10nF,5%
890901447001,0603,330nH,
8900433211,0414,154R,1%
8900444101,0933,10R,5%
8909010561,SMD,SFH4727ASA01,
8900521912,0617,910R,5%
127100000B,,undefined,
8900444102,0933,100R,5%
1271290052,SIP 4-PIN,A1366LKT-1-1T/13,
8909010562,SOT363,74LVC1T45GW/C5,
8900433212,0414,158R,1%
8909001592,HLQFP144,*PD70F3508GJA9-C,
8909008372,QFN16,NCP81162,
8902001792,0805,150pF,2%
8900430432,0414,430R,5%
8909015782,0603,6.8nF,5%
8900458272,0411,270R,2%
8900653102,0922,100R,5%
8909008373,SO8,NCV8402ADDR,
8902001793,0805,180pF,2%
8909001593,SOT323,2SC4081U3HZGT106,
127100000C,,undefined,
8900458273,0411,2.7k,2%
1271290053,SIP 4-PIN,A1366LKT-1-1T/13,
8900433213,0414,162R,1%
1267369613,,650nH,
8909010563,2520,0.68uH,
8909015783,0603,6.8nF,5%
8900430433,0414,4.3k,5%
8900521913,0617,9.1k,5%
8900653103,0922,1k,5%
8900444103,0933,1k,5%
8909001594,TSSOP14,74HCT4066PW/C,
1037362194,MQFP144,SAK-C167CS-4R40M,
8900653104,0922,10k,5%
8900430434,0414,43k,5%
127100000D,,undefined,
8900458274,0411,27k,2%
8902001794,0805,220pF,2%
8900433214,0414,165R,1%
8909008374,,ALTW0805C-C02TF,
8902975034,,33nF,20%
8900521914,0617,91k,5%
8900444104,0933,10k,5%
8909015784,0603,3.3nF,5%
0261D17644,,undefined,
1267369614,3.2x2.5(mm),47uH,
8909010564,LQFP48-EP,MC33FS4500NAE,
8902001795,0805,270pF,2%
127100000E,,undefined,
1037362195,MQFP144,SAKC167CR-4RMGA-,
8900653105,0922,100k,5%
8900521915,0617,910k,5%
8909015785,0603,3.3nF,5%
8925905135,SO8,M95128MN6T,
8909008375,,ACW4532B-2-150TF,
1267369615,TO252,SRVUD620CTT4G,
8909010565,LQFP176,SAL-TC375TI-96F3,
8900433215,0414,169R,1%
8900458275,0411,270k,2%
1271011005,34.0 x 15.4 x 15.3,D2S24A-400A5-A,
8900430435,0414,430k,5%
8900444105,0933,100k,5%
8909010566,,RNS072050191292,
8900444106,0933,1M,5%
1270CD6416,,MPT-04-01-01-T-R,
8925905136,SO8,MSM9831-120MAZ01,
8900653106,0922,1M,5%
1271011006,,D4S24D-400A5-C,
127100000F,,undefined,
8900430436,0414,4.3M,5%
8900521916,0617,9.1M,5%
8900433216,0414,174R,1%
8902001796,0805,330pF,2%
8909008376,2725,0.2m,1%
8909001596,HY_FUER-HYBRID-SG,C3763-1BS2,
8909015786,0603,3.3nF,5%
8900458276,0411,2.7M,2%
8909008377,0201,100pF,5%
8909010567,4532,100uH,
8900653107,0922,10M,5%
8902001797,0805,390pF,2%
8900433217,0414,178R,1%
8900524227,0207,22M,5%
8900444107,0933,10M,5%
8902928407,,100nF,20%
8909015787,0603,2.2nF,5%
127100000G,,undefined,
1271011007,,59S2CB-40MT5-CHD,
8900458277,0411,27M,2%
1270CD6417,,QMS-078-01-SL-D-,
8900430437,0414,43M,5%
1267369617,"7,7 x 7,2 x 5,2 mm*",47uH,
8909001597,,220uF,20%
8909010568,SOT23,BSS84HZGT116,
8909015788,FPBGA (292pin),R7F702300BFABA-C,
8900679370,0207,69.8k,2%
8900228190,0207,649R,2%
8909B01810,SSOP20,R5F10A6AKSP,
127100000H,,undefined,
1270CD6418,,2129320-3,
8905505680,SOD123,PMEG3010EH/DG/B2,
8900423820,0411,8.2R,5%
8900433218,0414,182R,1%
8909B03920,HVQFN40,NCJ3340,
8902928408,,150nF,20%
8905510180,0603,15nF,10%
8909012730,8-SOIC,W25Q64JVSSSM,
8902001798,0805,470pF,2%
8900420240,0414,2.4R,5%
3337619280,BECHER/R,undefined,
1270E32380,n.a.,,
8909B03921,SMD 10x10,330uF,20%
8900423821,0411,82R,5%
8909010569,D2PAK*7L,NVBG160N120SC1,
890900598701,HY_FUER-HYBRID-SG,22uH,
8902928409,,220nF,20%
8905707271,TO18,BC182,
8900679371,0207,71.5k,2%
8900433219,0414,187R,1%
1267369619,,4.7uH,
8902001799,0805,560pF,2%
8905510181,0603,33nF,10%
127129005201,SIP 4-PIN,A1366LKT-1-1T/13,
8900228191,0207,681R,2%
1035500049,,undefined,
8900443471,0414,47R,0.5%
0281C01811,,undefined,
1271011009,,U.FL-R-SMT-1(01),
8900420241,0414,24R,5%
8909012731,3921,500uOhm,1%
8909B0693101,BGA144,IMX623-BAQWWCR,
890900880601,0402,26.1k,1%
8909B01811,QFP144,R7F701362EAFP#YB,
0437S0052T01,,undefined,
0272240380DA,TQFP128EP,CG270,
1270E32381,n.a.,undefined,
8909015789,0603,1.5nF,5%
8905422752,SOT23,BZX84C12,
8905505682,1210,10uF,10%
8909B0693102,BGA144,IMX623-BAJWWCR,
8900228192,0207,715R,2%
8900423822,0411,820R,5%
8909012732,DPAK,SURD8530T4G-VF01,
8909B03922,2016-4,20MHz,100ppm
8909B01812,24.2 x 18.6 mm,,
8905510182,,33uH,
8900443472,0414,470R,0.5%
127100000J,,undefined,
8900679372,0207,73.2k,2%
8900420242,0414,240R,5%
1274477982,,390nF,20%
890900598702,HY_FUER-HYBRID-SG,22uH,
1274477983,,1uF,20%
8900420243,0414,2.4k,5%
8909B01813,SMD,20021121-00004C4,
8900443473,0414,4.7k,0.5%
8900228193,0207,7.5k,2%
8909B03923,SOT-23 (6),TS5A3159-Q1,
0265CR8133,,SMD-E-04-N22200-,
8900679373,0207,75k,2%
8905505683,1812,10uF,
8909012733,5930,0.3m,1%
127100000K,,undefined,
3337619283,RADIAL,3.3mF,20%
8905510183,,4.7uH,
8909B0693103,BGA144,IMX623-BAQWWMR,
8902838873,,10nF,20%
8900423823,0411,8.2k,5%
8900679374,0207,76.8k,2%
8905510184,,22uH,
8900228194,0207,787R,2%
8900423824,0411,82k,5%
8900420244,0414,24k,5%
8909B0693104,BGA144,IMX623-BAQWWR,
1274477984,,220nF,20%
8900443474,0414,47k,0.5%
8909B01814,Bare-die,PM4D34N_RtP1,
8905505684,1206,680nF,10%
8900420245,0414,240k,5%
8900443475,0414,470k,0.5%
8909012735,SOT1289B,SS8P6CHM3_A,
8905505685,1206,2.2uF,
8900679375,0207,78.7k,2%
8900423825,0411,820k,5%
8900228195,0207,825R,2%
8909B01815,Bare-die,PM4D46N_RtP1,
8909012736,VSSOP8,SN74LVC2G74QDCUR,
8900420246,0414,2.4M,5%
8900228196,0207,866R,2%
1034486196,,2 pin ERNI MaxiB,
8905505686,TO263,IPB80N06S2L-07,
8905510186,SSOP16,TJA1081A,
8909B01816,SMD 27.8 x 26.0 mm,,
8900679376,0207,80.6k,2%
8900679377,0207,82.5k,2%
8909B01817,VQFN-48-31,TLE9879QXA40-BB,
8900228197,0207,909R,2%
1270AC1497,,undefined,
11EM002247,SOT23-5,MIC5225-5.0YM5-T,
8905510187,,3.3uH,
8900420247,0414,24M,5%
8905505687,TO252,IPD26N06S2L-35,
3337619287,BECHER,undefined,
8902838877,,15nF,20%
8900433280,0414,806R,1%
8905505688,TO252,IPD30N06S2L-13,
8900422390,0411,3.9R,5%
8905502630,0805,1.3k,1%
1034486198,,undefined,
8900228198,0207,953R,2%
8909010550,0805,BLM21SP181SH1,
8905510188,,6.8uH,
8909012738,DHVQFN16 / SOT763-1,NPIC6C595BQ-Q100,
8900679378,0207,84.5k,2%
8900467040,0309,25.5R,2%
8909008360,F61 (6.3 x 5.8),47uF,20%
8902001800,0805,680pF,2%
8909015771,DO-214AA,SM6T30AHE3_B/H,
890901578401,0603,3.3nF,5%
8905505689,,V23138-R005-A403,
8909B0785401,PowerSSO-36 (EP),VNHD7008AY,
8909B01819,E16 EM,,
8900422391,0411,39R,5%
8909003504WA,BGA292,R7F701327EABG#YJ,
890901300901,2016,25MHz,
1270E3766101,,undefined,
890900441301,HY_0402,1k,1%
8905502631,0805,1.3k,1%
1270E35411,,undefined,
8909B0581701,SOIC-8,ISO6721QDWVRQ1,
8900679379,0207,86.6k,2%
0261C23841,,undefined,
8902001801,0805,820pF,2%
8909B0792701,SMD DSX321G,16MHz,
8900467041,0309,26.1R,2%
8900433281,0414,825R,1%
8909010551,0603,11nH,
8909008361,F80 (6.3 x 7.7),100uF,20%
8905510189,SOIC8,AUIRS44261STR,
8909010552,,undefined,
0272240289CB,HiQuad64,CJ722 CB-Step,
8900422392,0411,390R,5%
8900467042,0309,26.7R,2%
8902001802,0805,1nF,2%
1270E35412,,undefined,
8909015772,14-SOIC,UCC21530QDWKRQ1,
8900433282,0414,845R,1%
8909008362,F80 (6.3 x 7.7),100uF,20%
8900433283,0414,866R,1%
8909010553,,undefined,
8909008363,6.5.x6.5,10uH,
8900467043,0309,27.4R,2%
8905502633,HY_FUER-HYBRID-SG,MFR4200,
8900422393,0411,3.9k,5%
