"Component ID","Symbol Name","Part Name","Reference Designator","Not mount on PCB","Value"
"","SymbolName","partName","reference","noMount","value"
"sht11.cmp3472","gndd_sym_1.smb","GND","","",""
"sht11.cmp3691","din_a1_v_sdsym_1.smb","0281Y09PG9_L","","",""
"sht11.cmp3692","nc.smb","NC","","",""
"sht11.cmp3693","nc.smb","NC","","",""
"sht11.cmp3694","nc.smb","NC","","",""
"sht11.cmp3695","nc.smb","NC","","",""
"sht11.cmp3696","volt1b_sdsym_1.smb","UBR_FRL","","","UNDEF"
"sht11.cmp3901","gndd_sym_1.smb","GND","","",""
"sht11.cmp3937","gndd_sym_1.smb","GND","","",""
"sht11.cmp3939","gndd_sym_1.smb","GND","","",""
"sht11.cmp3940","nc.smb","NC","","",""
"sht11.cmp3942","volt1b_sdsym_1.smb","VDD5A_IN","","","UNDEF"
"sht11.cmp3943","gndd_sym_1.smb","GND","","",""
"sht11.cmp3945","gndd_sym_1.smb","GNDA_ADC","","",""
"sht11.cmp3948","gndd_sym_1.smb","GND","","",""
"sht11.cmp3954","nc.smb","NC","","",""
"sht11.cmp3958","nc.smb","NC","","",""
"sht11.cmp3959","nc.smb","NC","","",""
"sht11.cmp3960","volt1b_sdsym_1.smb","UBR_FRL","","","UNDEF"
"sht11.cmp3961","volt1b_sdsym_1.smb","UBR_FRL","","","UNDEF"
"sht11.cmp3964","gndd_sym_1.smb","GND","","",""
"sht11.cmp3966","gndd_sym_1.smb","GND","","",""
"sht11.cmp3967","nc.smb","NC","","",""
"sht11.cmp3969","volt1b_sdsym_1.smb","VDD5A_IN","","","UNDEF"
"sht11.cmp3970","gndd_sym_1.smb","GND","","",""
"sht11.cmp3972","gndd_sym_1.smb","GNDA_ADC","","",""
"sht11.cmp3975","gndd_sym_1.smb","GND","","",""
"sht11.cmp3981","nc.smb","NC","","",""
"sht11.cmp3985","nc.smb","NC","","",""
"sht11.cmp3986","nc.smb","NC","","",""
"sht11.cmp3989","gndd_sym_1.smb","GND","","",""
"sht11.cmp3991","gndd_sym_1.smb","GND","","",""
"sht11.cmp3992","nc.smb","NC","","",""
"sht11.cmp3994","volt1b_sdsym_1.smb","VDD5A_IN","","","UNDEF"
"sht11.cmp3995","gndd_sym_1.smb","GND","","",""
"sht11.cmp3997","gndd_sym_1.smb","GNDA_ADC","","",""
"sht11.cmp4000","gndd_sym_1.smb","GND","","",""
"sht11.cmp4006","nc.smb","NC","","",""
"sht11.cmp4010","nc.smb","NC","","",""
"sht11.cmp4011","nc.smb","NC","","",""
"sht11.cmp4015","shconout.smb","SAV_I_A21_AN39","","",""
"sht11.cmp4016","shconout.smb","SAV_I_A2_AN60","","",""
"sht11.cmp4017","shconout.smb","SAV_I_A34_AN63","","",""
"sht11.cmp4018","shconin.smb","CTO_S7000_IN3_HSLS2_P13_11","","",""
"sht11.cmp4019","shconin.smb","CTO_S7000_IN2_LS1_P13_13","","",""
"sht11.cmp4020","shconin.smb","CTO_S7000_IN5_HSLS3_P13_05","","",""
"sht11.cmp4021","shconin.smb","CTO_S7000_IN6_LS3_P14_15","","",""
"sht11.cmp4022","shconin.smb","CTO_S7000_IN8_LS4_P14_13","","",""
"sht11.cmp4023","shconin.smb","CTO_S7000_IN4_LS2_P13_09","","",""
"sht11.cmp4024","shconin.smb","CTO_S7000_IN7_HSLS4_P13_07","","",""
"sht11.cmp4025","shconin.smb","CTO_S7000_IN1_HSLS1_P13_15","","",""
"sht11.cmp4026","shconout.smb","MSC0_UPLINK_P11_03","","",""
"sht11.cmp4027","shconin.smb","MSC0_CLKPOS_P13_01","","",""
"sht11.cmp4028","shconin.smb","MSC0_DATANEG_P13_02","","",""
"sht11.cmp4029","shconin.smb","MSC0_DATAPOS_P13_03","","",""
"sht11.cmp4030","shconin.smb","MSC0_CS0_P14_10","","",""
"sht11.cmp4031","shconin.smb","MSC0_CLKNEG_P13_00","","",""
"sht11.cmp4034","gndd_sym_1.smb","GND","","",""
"sht11.cmp4040","volt1b_sdsym_1.smb","UBR_FRL","","","UNDEF"
"sht12.cmp2","din_a1_v_sdsym_1.smb","0281Y09PG9_L","","",""
"sht12.cmp5","gndd_sym_1.smb","GND","","",""
"sht12.cmp6","nc.smb","NC","","",""
"sht12.cmp16","gndd_sym_1.smb","GND","","",""
"sht12.cmp22","nc.smb","NC","","",""
"sht12.cmp23","gndd_sym_1.smb","GND","","",""
"sht12.cmp24","gndd_sym_1.smb","GND","","",""
"sht12.cmp36","gndd_sym_1.smb","GND","","",""
"sht12.cmp39","nc.smb","NC","","",""
"sht12.cmp43","gndd_sym_1.smb","GND","","",""
"sht12.cmp45","nc.smb","NC","","",""
"sht12.cmp46","nc.smb","NC","","",""
"sht12.cmp48","gndd_sym_1.smb","GND","","",""
"sht12.cmp51","gndd_sym_1.smb","GND","","",""
"sht12.cmp52","gndd_sym_1.smb","GND","","",""
"sht12.cmp56","gndd_sym_1.smb","GND","","",""
"sht12.cmp63","gndd_sym_1.smb","GND","","",""
"sht12.cmp71","nc.smb","NC","","",""
"sht12.cmp74","gndd_sym_1.smb","GND","","",""
"sht12.cmp79","nc.smb","NC","","",""
"sht12.cmp86","gndd_sym_1.smb","GND","","",""
"sht12.cmp88","gndd_sym_1.smb","GND","","",""
"sht12.cmp93","nc.smb","NC","","",""
