Component ID,Reference Designator,Part Name,Not mount on PCB,Symbol Name
,reference,partName,noMount,SymbolName
sht16.cmp3145,C7409,1267370594,NO,c_sym_1.smb
sht16.cmp3147,C7410,1267370606,NO,c_sym_1.smb
sht16.cmp3141,C7411,1267370008,NO,c_sym_1.smb
sht16.cmp3511,C7412,1267370747,NO,c_sym_1.smb
sht16.cmp3171,C7419,1267370594,NO,c_sym_1.smb
sht16.cmp3176,C7420,1267370606,NO,c_sym_1.smb
sht16.cmp3163,C7421,1267370008,NO,c_sym_1.smb
sht16.cmp3514,C7422,1267370747,NO,c_sym_1.smb
sht16.cmp3402,C7429,1267370594,NO,c_sym_1.smb
sht16.cmp3395,C7430,1267370606,NO,c_sym_1.smb
sht16.cmp3403,C7431,1267370008,NO,c_sym_1.smb
sht16.cmp3517,C7432,1267370747,NO,c_sym_1.smb
sht17.cmp8366,C7439,1267370594,NO,c_sym_1.smb
sht17.cmp8370,C7440,1267370606,NO,c_sym_1.smb
sht17.cmp8364,C7441,1267370008,NO,c_sym_1.smb
sht17.cmp8374,C7442,1267370747,NO,c_sym_1.smb
sht17.cmp8120,C7453,1267370527,NO,c_sym_1.smb
sht17.cmp8119,C7454,1267370640,NO,c_sym_1.smb
sht17.cmp8210,C7463,1267370527,YES,c_sym_1.smb
sht17.cmp8232,C7464,1267370640,YES,c_sym_1.smb
sht17.cmp8397,C7469,1267370594,NO,c_sym_1.smb
sht17.cmp8399,C7470,1267370606,NO,c_sym_1.smb
sht17.cmp8387,C7471,1267370008,NO,c_sym_1.smb
sht17.cmp8396,C7472,1267370747,NO,c_sym_1.smb
sht17.cmp8418,C7479,1267370594,NO,c_sym_1.smb
sht17.cmp8420,C7480,1267370606,NO,c_sym_1.smb
sht17.cmp8408,C7481,1267370008,NO,c_sym_1.smb
sht17.cmp8417,C7482,1267370747,NO,c_sym_1.smb
sht15.cmp2864,C8100,1267373039,NO,elko_sym_1.smb
sht15.cmp2624,C8101,1267362202,NO,c_sym_1.smb
sht15.cmp2621,C8102,1267370564,NO,c_sym_1.smb
sht15.cmp1749,C8103,1267370562,NO,c_sym_1.smb
sht15.cmp1713,C8104,1267370562,NO,c_sym_1.smb
sht15.cmp1737,C8105,1267370011,NO,c_sym_1.smb
sht15.cmp2622,C8112,1267370564,NO,c_sym_1.smb
sht15.cmp1678,C8113,1267370562,NO,c_sym_1.smb
sht15.cmp1746,C8114,1267370562,NO,c_sym_1.smb
sht15.cmp2867,C8120,1267373039,NO,elko_sym_1.smb
sht15.cmp2634,C8121,1267362202,NO,c_sym_1.smb
sht15.cmp2631,C8122,1267370564,NO,c_sym_1.smb
sht15.cmp1673,C8123,1267370562,NO,c_sym_1.smb
sht15.cmp1637,C8124,1267370562,NO,c_sym_1.smb
sht15.cmp1661,C8125,1267370011,NO,c_sym_1.smb
sht15.cmp2632,C8132,1267370564,NO,c_sym_1.smb
sht15.cmp1602,C8133,1267370562,NO,c_sym_1.smb
sht15.cmp1670,C8134,1267370562,NO,c_sym_1.smb
sht15.cmp2644,C8141,1267362202,NO,c_sym_1.smb
sht15.cmp2641,C8142,1267370564,NO,c_sym_1.smb
sht15.cmp2031,C8143,1267370562,NO,c_sym_1.smb
sht15.cmp2094,C8144,1267370562,NO,c_sym_1.smb
sht15.cmp2089,C8145,1267370011,NO,c_sym_1.smb
sht15.cmp2642,C8152,1267370564,NO,c_sym_1.smb
sht9.cmp318,D1800,1267375426,NO,doppel_suppressor_bidirekt_sdsym_1.smb
sht9.cmp343,D1810,1267375426,YES,doppel_suppressor_bidirekt_sdsym_1.smb
sht9.cmp557,D1850,1267375426,YES,doppel_suppressor_bidirekt_sdsym_1.smb
sht8.cmp27,D2200,1267375426,NO,doppel_suppressor_bidirekt_sdsym_1.smb
sht8.cmp471,D2220,1267375426,NO,doppel_suppressor_bidirekt_sdsym_1.smb
sht8.cmp503,D2240,1267375426,NO,doppel_suppressor_bidirekt_sdsym_1.smb
sht8.cmp534,D2260,1267375426,NO,doppel_suppressor_bidirekt_sdsym_1.smb
sht8.cmp648,D2270,1267375426,NO,doppel_suppressor_bidirekt_sdsym_1.smb
